1,1,1445,506,28,75,-1,-1,-1,-1
1,2,187,569,52,153,-1,-1,-1,-1
1,3,543,549,31,85,-1,-1,-1,-1
1,4,1523,565,47,115,-1,-1,-1,-1
1,5,1481,519,30,75,-1,-1,-1,-1
1,6,269,577,45,147,-1,-1,-1,-1
1,7,1611,556,50,123,-1,-1,-1,-1
1,8,639,525,21,64,-1,-1,-1,-1
1,9,677,520,21,62,-1,-1,-1,-1
1,10,122,703,46,102,-1,-1,-1,-1
1,11,654,525,21,64,-1,-1,-1,-1
1,12,503,545,33,87,-1,-1,-1,-1
1,13,790,506,15,42,-1,-1,-1,-1
1,14,774,504,16,43,-1,-1,-1,-1
1,15,1451,489,18,42,-1,-1,-1,-1
1,16,1183,487,13,33,-1,-1,-1,-1
1,17,827,508,14,43,-1,-1,-1,-1
1,18,1370,517,32,96,-1,-1,-1,-1
1,19,1269,488,17,40,-1,-1,-1,-1
1,20,620,517,20,67,-1,-1,-1,-1
1,21,-35,655,80,234,-1,-1,-1,-1
1,22,1075,490,14,29,-1,-1,-1,-1
2,1,1448,504,29,74,-1,-1,-1,-1
2,3,541,549,30,85,-1,-1,-1,-1
2,7,1615,551,56,125,-1,-1,-1,-1
2,8,638,526,21,63,-1,-1,-1,-1
2,5,1484,516,30,74,-1,-1,-1,-1
2,10,110,709,46,103,-1,-1,-1,-1
2,6,263,583,42,141,-1,-1,-1,-1
2,4,1529,562,47,114,-1,-1,-1,-1
2,2,177,569,53,157,-1,-1,-1,-1
2,11,653,523,22,67,-1,-1,-1,-1
2,9,677,520,22,61,-1,-1,-1,-1
2,19,1273,487,17,41,-1,-1,-1,-1
2,12,502,546,33,86,-1,-1,-1,-1
2,13,790,504,15,42,-1,-1,-1,-1
2,18,1372,513,32,96,-1,-1,-1,-1
2,14,774,503,16,42,-1,-1,-1,-1
2,17,827,506,14,42,-1,-1,-1,-1
2,20,620,516,20,64,-1,-1,-1,-1
2,15,1452,486,19,44,-1,-1,-1,-1
2,21,-45,653,84,239,-1,-1,-1,-1
2,16,1184,484,14,34,-1,-1,-1,-1
3,4,1535,558,49,115,-1,-1,-1,-1
3,3,540,555,32,87,-1,-1,-1,-1
3,6,258,591,44,148,-1,-1,-1,-1
3,11,650,529,24,68,-1,-1,-1,-1
3,1,1451,501,28,76,-1,-1,-1,-1
3,7,1622,546,58,128,-1,-1,-1,-1
3,2,170,581,53,158,-1,-1,-1,-1
3,10,101,723,44,101,-1,-1,-1,-1
3,9,676,522,23,63,-1,-1,-1,-1
3,5,1487,513,33,75,-1,-1,-1,-1
3,12,500,551,33,90,-1,-1,-1,-1
3,8,636,532,21,64,-1,-1,-1,-1
3,19,1273,485,18,43,-1,-1,-1,-1
3,17,826,509,15,44,-1,-1,-1,-1
3,13,791,507,15,45,-1,-1,-1,-1
3,20,619,520,21,67,-1,-1,-1,-1
3,14,774,506,16,45,-1,-1,-1,-1
3,18,1377,511,32,97,-1,-1,-1,-1
3,15,1452,484,20,47,-1,-1,-1,-1
3,21,-58,664,91,243,-1,-1,-1,-1
4,6,255,584,44,151,-1,-1,-1,-1
4,3,540,551,33,87,-1,-1,-1,-1
4,4,1543,563,50,120,-1,-1,-1,-1
